mondo_id,mondo_name,mondo_depth,n_genes_ppi,n_genes_direct,n_genes_propagated,passed_direct_filter,in_omim,in_gwas
MONDO:0002280,anemia,3,108,11,97,True,True,False
MONDO:0002146,hypogonadism,4,107,54,53,True,False,True
MONDO:0004938,substance dependence,4,104,2,102,True,False,True
MONDO:0008638,varicose disease,5,104,102,2,True,False,True
MONDO:0002656,skin carcinoma,5,101,87,14,True,False,True
MONDO:0018908,non-Hodgkin lymphoma,6,101,11,90,True,False,True
MONDO:0005155,cirrhosis of liver,4,98,14,84,True,True,True
MONDO:0005096,squamous cell carcinoma,7,97,25,72,True,True,True
MONDO:0000437,cerebellar ataxia,4,95,6,89,True,True,False
MONDO:0042981,aortic valve stenosis,3,93,92,1,True,False,True
MONDO:0015759,B-cell non-Hodgkin lymphoma,5,91,1,90,True,True,False
MONDO:0019751,autoinflammatory syndrome,3,89,2,87,True,True,False
MONDO:0008575,nicotine dependence,6,87,87,0,True,True,True
MONDO:0005206,renal carcinoma,6,86,1,85,True,True,False
MONDO:0005086,renal cell carcinoma,7,85,28,57,True,True,True
MONDO:0005388,primary biliary cholangitis,4,84,84,0,True,False,True
MONDO:0018882,vasculitis,3,82,1,81,True,True,False
MONDO:0019200,retinitis pigmentosa,5,82,9,73,True,True,True
MONDO:0005402,lymphoid leukemia,6,80,6,74,True,True,True
MONDO:0001384,myopia,3,78,76,2,True,True,True
MONDO:0005276,dental caries,5,78,78,0,True,False,True
MONDO:0005045,hypertrophic cardiomyopathy,6,78,45,33,True,False,True
MONDO:0005342,IgA glomerulonephritis,5,76,76,0,True,True,True
MONDO:0008373,retinal arterial tortuosity,5,74,74,0,True,False,True
MONDO:0015286,congenital disorder of glycosylation,4,74,46,28,True,True,False
MONDO:0005300,chronic kidney disease,4,73,62,11,True,False,True
MONDO:0019046,leukodystrophy,5,72,23,49,True,True,False
MONDO:0020592,disorder of pharynx,3,70,21,49,True,False,True
MONDO:0012672,cholelithiasis,5,69,69,0,True,False,True
MONDO:0008661,vitiligo,4,69,69,0,True,False,True
MONDO:0004425,hyperthyroidism,4,68,31,37,True,True,True
MONDO:0004952,Hodgkins lymphoma,6,64,59,5,True,True,True
MONDO:0019019,osteogenesis imperfecta,5,63,18,45,True,True,False
MONDO:0005233,non-small cell lung carcinoma,6,63,14,49,True,False,True
MONDO:0005249,pneumonia,4,63,23,40,True,False,True
MONDO:0011786,allergic rhinitis,4,62,62,0,True,True,True
MONDO:0007275,carpal tunnel syndrome,6,62,61,1,True,True,True
MONDO:0004948,B-cell chronic lymphocytic leukemia,5,62,62,0,True,False,True
MONDO:0020380,autosomal dominant cerebellar ataxia,4,60,29,31,True,True,False
MONDO:0005061,lung adenocarcinoma,7,59,59,0,True,True,True
MONDO:0005105,melanoma,5,59,56,3,True,True,True
MONDO:0005130,celiac disease,3,59,59,0,True,True,True
MONDO:0005372,male infertility,4,59,2,57,True,False,True
MONDO:0043765,presbycusis,6,58,58,0,True,False,True
MONDO:0003004,macular degeneration,5,57,23,34,True,True,True
MONDO:0019512,congenital heart malformation,4,57,1,56,True,False,True
MONDO:0004983,spermatogenic failure,3,56,5,51,True,True,False
MONDO:0004976,amyotrophic lateral sclerosis,5,56,33,23,True,True,True
MONDO:0021348,neoplasm of testis,5,55,1,54,True,True,False
MONDO:0007763,nonpapillary renal cell carcinoma,8,55,55,0,True,False,True
MONDO:0002715,uterine cancer,6,54,2,52,True,False,True
